chapter_no,verse_no,question_en,question_te,answer_en,answer_te
1,1,Why does Dhritarashtra ask Sanjaya to describe the battlefield?,యుద్ధభూమిని వివరించమని ధృతరాష్ట్రుడు సంజయుడిని ఎందుకు అడుగుతాడు?,"Dhritarashtra is blind, both physically and symbolically — representing ignorance. He wants Sanjaya to narrate what is happening because he is anxious about the outcome of the war and whether his sons (Kauravas) will win.","ధృతరాష్ట్రుడు అంధుడు, భౌతికంగా మరియు ప్రతీకాత్మకంగా - అజ్ఞానానికి ప్రాతినిధ్యం వహిస్తాడు. సంజయుడు యుద్ధం యొక్క ఫలితం గురించి మరియు తన కుమారులు (కౌరవులు) గెలుస్తారా లేదా అనే ఆత్రుతతో ఏమి జరుగుతుందో వివరించాలని అతను కోరుకుంటున్నాడు."
1,1,What is the significance of Kurukshetra being described as 'sacred soil' in the verse?,శ్లోకంలో కురుక్షేత్రాన్ని 'పవిత్రమైన నేల'గా వర్ణించడం యొక్క ప్రాముఖ్యత ఏమిటి?,"Kurukshetra is referred to as 'sacred soil' because it is not only a battleground but also a place of great spiritual and religious significance, believed to be a dharmic land where righteous decisions are made.","కురుక్షేత్రాన్ని 'పవిత్ర నేల' అని పిలుస్తారు, ఎందుకంటే ఇది యుద్ధభూమి మాత్రమే కాదు, గొప్ప ఆధ్యాత్మిక మరియు మతపరమైన ప్రాముఖ్యత కలిగిన ప్రదేశం, ధర్మబద్ధమైన నిర్ణయాలు తీసుకునే ధార్మిక భూమి అని నమ్ముతారు."
1,1,Why does Dhritarashtra refer to Kurukshetra as 'Dharmakshetra' in his query to Sanjaya?,సంజయుని ప్రశ్నలో ధృతరాష్ట్రుడు కురుక్షేత్రాన్ని 'ధర్మక్షేత్రం' అని ఎందుకు పేర్కొన్నాడు?,Dhritarashtra refers to Kurukshetra as 'Dharmakshetra' because he is aware of its spiritual importance. It underscores his concern about the righteousness of the battle and the potential consequences for his sons and the Pandavas.,"ధృతరాష్ట్రుడు కురుక్షేత్రాన్ని 'ధర్మక్షేత్రం' అని పేర్కొన్నాడు, ఎందుకంటే అతనికి దాని ఆధ్యాత్మిక ప్రాముఖ్యత గురించి తెలుసు. ఇది యుద్ధం యొక్క ధర్మం మరియు అతని కుమారులు మరియు పాండవులకు సంభావ్య పరిణామాల గురించి అతని ఆందోళనను నొక్కి చెబుతుంది."
1,1,"In Chapter 1, Verse 1, what does Dhritarashtra's question to Sanjaya reveal about his state of mind?","1వ అధ్యాయం, 1వ శ్లోకంలో, ధృతరాష్ట్రుడు సంజయుడిని అడిగిన ప్రశ్న అతని మానసిక స్థితి గురించి ఏమి తెలుపుతుంది?",Dhritarashtra's question reveals his anxiety and curiosity about the battle's events. His reference to 'my children and the children of Pandu' suggests his concern for the outcome and the fate of both parties involved.,ధృతరాష్ట్రుని ప్రశ్న యుద్ధం యొక్క సంఘటనల గురించి అతని ఆందోళన మరియు ఉత్సుకతను వెల్లడిస్తుంది. 'నా పిల్లలు మరియు పాండు యొక్క పిల్లలు' అనే అతని ప్రస్తావన రెండు పార్టీల ఫలితం మరియు విధి గురించి అతని ఆందోళనను సూచిస్తుంది.
1,1,What is Dhritarashtra anxious to know about the events at Kurukshetra?,కురుక్షేత్రంలో జరిగిన సంఘటనల గురించి తెలుసుకోవాలని ధృతరాష్ట్రుడు ఆత్రుతగా ఉన్నాడు?,"Dhritarashtra is anxious to know what actions both his sons and the sons of Pandu took when gathered on the battlefield, reflecting his deep concern over the impending conflict and its implications.","ధృతరాష్ట్రుడు తన కుమారులు మరియు పాండు కుమారులు ఇద్దరూ యుద్ధభూమిలో గుమిగూడినప్పుడు ఏమి చర్యలు తీసుకున్నారో తెలుసుకోవాలని ఆత్రుతగా ఉన్నాడు, ఇది రాబోయే సంఘర్షణ మరియు దాని పర్యవసానాలపై అతని తీవ్ర ఆందోళనను ప్రతిబింబిస్తుంది."
1,2,"In Chapter 1, Verse 2, who is the speaker describing Duryodhana's actions?","అధ్యాయం 1, శ్లోకం 2, దుర్యోధనుడి చర్యలను వివరించే వక్త ఎవరు?",The speaker in this verse is Sanjaya. He is describing the actions of King Duryodhana as he observes the Pandavas' army and approaches Dronacarya to speak.,"ఈ పద్యంలోని వక్త సంజయుడు. అతను పాండవుల సైన్యాన్ని గమనించి, మాట్లాడటానికి ద్రోణాచార్యుని దగ్గరకు వచ్చినప్పుడు రాజు దుర్యోధనుడి చర్యలను వివరిస్తున్నాడు."
1,2,What did Duryodhana see that prompted him to speak to Dronacarya?,ద్రోణాచార్యునితో మాట్లాడటానికి దుర్యోధనుడు ఏమి చూశాడు?,Duryodhana saw the Pandavas' army arrayed for battle. This sight prompted him to approach Dronacarya and speak.,యుద్ధానికి సిద్ధమైన పాండవుల సైన్యాన్ని దుర్యోధనుడు చూశాడు. ఈ దృశ్యం ద్రోణాచార్యుని దగ్గరకు వెళ్లి మాట్లాడేలా చేసింది.
1,2,How is the Pandavas' army described in the verse?,పద్యంలో పాండవుల సైన్యం ఎలా వివరించబడింది?,"The Pandavas' army is described as being drawn up for battle, indicating that they were strategically arranged and ready for combat.","పాండవుల సైన్యం యుద్ధానికి సిద్ధమైనట్లు వర్ణించబడింది, వారు వ్యూహాత్మకంగా ఏర్పాటు చేయబడి యుద్ధానికి సిద్ధంగా ఉన్నారని సూచిస్తుంది."
1,2,Why might Duryodhana approach Dronacarya upon seeing the Pandavas' army?,పాండవుల సైన్యాన్ని చూసిన దుర్యోధనుడు ద్రోణాచార్యుడిని ఎందుకు సంప్రదించాడు?,"Duryodhana likely approached Dronacarya because he was concerned or seeking guidance about the battle strategy. Dronacarya, being his teacher and a respected military leader, would be someone whose counsel Duryodhana valued in the face of the formidable Pandavas' army.","దుర్యోధనుడు బహుశా ద్రోణాచార్యను సంప్రదించాడు ఎందుకంటే అతను యుద్ధ వ్యూహం గురించి ఆందోళన చెందుతున్నాడు లేదా మార్గదర్శకత్వం కోరుతున్నాడు. ద్రోణాచార్య, అతని గురువు మరియు గౌరవనీయమైన సైనిక నాయకుడు, దుర్యోధనుడు బలీయమైన పాండవుల సైన్యాన్ని ఎదుర్కొనే సలహాకు విలువనిచ్చే వ్యక్తి."
1,2,What does Duryodhana's reaction to the Pandavas' army reveal about his character?,పాండవుల సైన్యం పట్ల దుర్యోధనుడి స్పందన అతని పాత్ర గురించి ఏమి తెలుపుతుంది?,"Duryodhana's immediate reaction to consult with Dronacarya suggests that he is a cautious and strategic thinker. It indicates that he respects wisdom and experience, especially in military matters, and is aware of the seriousness of the battle ahead. This reflects a blend of respect and strategic foresight in his character.","ద్రోణాచార్యుని సంప్రదించడానికి దుర్యోధనుడు తక్షణ ప్రతిస్పందన అతను జాగ్రత్తగా మరియు వ్యూహాత్మక ఆలోచనాపరుడని సూచిస్తుంది. అతను జ్ఞానం మరియు అనుభవాన్ని గౌరవిస్తాడని ఇది సూచిస్తుంది, ముఖ్యంగా సైనిక విషయాలలో, మరియు రాబోయే యుద్ధం యొక్క తీవ్రత గురించి తెలుసు. ఇది అతని పాత్రలో గౌరవం మరియు వ్యూహాత్మక దూరదృష్టి యొక్క సమ్మేళనాన్ని ప్రతిబింబిస్తుంది."
