chapter_no,verse_no,translation
1,1,"Dhritarashtra said: O Sanjaya, what did my sons and Pandu's sons do, assembled in Kurukshetra, the land of Dharma?"
1,2,"Sanjayu Palikenu: Duryodhana, seeing the Pandava army stationed in military strategy, approached his teacher Dronacharya and said this."
1,3,"Duryodhana spoke:  Respected Guruvarya! Behold this great army of Pandavas, most strategically held by your dear disciple, the son of Drupada."
1,4,"Look at the many mighty warriors in the army on their side - like Yuudhana, Virata and Drupada who wear great bows and are equal to Bhimarjuna. There were the mighty Dhrishtaketa, Chekita, the heroic Kasiraja, Purujittu, Kuntibhoja and Saibya - all of them the best of men. As in their army - the brave Yudhamanya, the heroic Uttamauja, the son of Subhadra, the sons of Draupadi - all these were warriors."
1,5,"Look at the many mighty warriors in the army on their side - like Yuudhana, Virata and Drupada who wear great bows and are equal to Bhimarjuna. There were the mighty Dhrishtaketa, Chekita, the heroic Kasiraja, Purujittu, Kuntibhoja and Saibya - all of them the best of men. As in their army - the brave Yudhamanya, the heroic Uttamauja, the son of Subhadra, the sons of Draupadi - all these were warriors."
1,6,"Look at the many mighty warriors in the army on their side - like Yuudhana, Virata and Drupada who wear great bows and are equal to Bhimarjuna. There were the mighty Dhrishtaketa, Chekita, the heroic Kasiraja, Purujittu, Kuntibhoja and Saibya - all of them the best of men. As in their army - the brave Yudhamanya, the heroic Uttamauja, the son of Subhadra, the sons of Draupadi - all these were warriors."
1,7,"O Brahmin, hear also of the chief warriors on our side, who are most worthy of leaders. I am telling you about them now for your interest."
1,8,"You, Bhishma, Karna, Kripacharya, Ashwatthama, Vikarna and Bhurishrava - all of them are ever victorious in battle."
1,9,"Many more warriors are ready to lay down their lives for me. Armed with many weapons, all of them are proficient in martial arts."
1,10,"Our military strength is unlimited and we are protected by father Bhishma, but the Pandava army protected by Bhima is limited."
1,11,"Therefore, I call upon all Kaurava Sena leaders to protect your strategic positions and render full cooperation to Bhishma Pitamahu."
1,12,"Then Bhishma, the great progenitor of the Kuru clan, roared like a lion and filled his conch with a loud noise; This made Duryodhana happy."
1,13,"After that conches, drums, tambourines, bheris and horn instruments sounded at once, the sound of all of them together was terrifying."
1,14,"Then, from the midst of the Pandava army, seated in a splendid chariot full of white horses, Madhava and Arjuna filled their divine conchshells."
1,15,"Hrishikesh filled the conch known as 'Panchajanyam'. Arjuna fills Devadatta. A great eater and a doer of the most difficult tasks, Bhima filled a gigantic conch called 'Poundram'."
1,16,"Oh ruler of the earth! Maharaja Yudhishthira completed Anantavijaya. Nakula Sahadeva, Sughosha filled the manipushpakams. The five sons of the great archer King Kasi, the charioteer Sikhandi, Dhrishtadyumna, Virata, the invincible Satyaki, Drupada, and Draupadi; Strong-armed, Abhimanyu, the son of Subhadra, all filled their conch shells."
1,17,"Oh ruler of the earth! Maharaja Yudhishthira completed Anantavijaya. Nakula Sahadeva, Sughosha filled the manipushpakams. The five sons of the great archer King Kasi, the charioteer Sikhandi, Dhrishtadyumna, Virata, the invincible Satyaki, Drupada, and Draupadi; Strong-armed, Abhimanyu, the son of Subhadra, all filled their conch shells."
1,18,"Oh ruler of the earth! Maharaja Yudhishthira completed Anantavijaya. Nakula Sahadeva, Sughosha filled the manipushpakams. The five sons of the great archer King Kasi, the charioteer Sikhandi, Dhrishtadyumna, Virata, the invincible Satyaki, Drupada, and Draupadi; Strong-armed, Abhimanyu, the son of Subhadra, all filled their conch shells."
1,19,"O Dhritarashtra, the earth and heavens trembled at that terrible sound; It broke the hearts of your sons."
1,20,"At that time, Arjuna, the son of Pandu, who had the symbol of Hanuman on his chariot flag, took his bow. Seeing your sons standing in front of Samara, O king, Arjuna said to Sri Krishna."
1,21,"Arjuna said this. Achyuta (Sri Krishna), please stop my chariot between the two armies. In this great struggle, I must test who is standing on the battlefield and who is to fight."
1,22,"Arjuna said this. Achyuta (Sri Krishna), please stop my chariot between the two armies. In this great struggle, I must test who is standing on the battlefield and who is to fight."
1,23,I want to see all those who have come to war on his side to please the mischievous Dhritarashtra's son.
1,24,"Sanjaya said: O Dhritarashtra, thus, as requested by Arjuna, conqueror of sleep, Sri Krishna drove that glorious chariot between the two armies."
1,25,"In the presence of Bhishma, Dronacharya and other kings, Lord Krishna said, ""O Partha, see the Kurus clan gathered here""."
1,26,"There Arjuna saw his fathers, grandfathers, teachers, uncles, brothers, cousins, sons, grandsons, friends, uncles and well-wishers who were in both armies."
1,27,"Arjuna, the son of Kunti, seeing all his relatives there, filled with compassion, uttered this in great sorrow."
1,28,"Arjuna said: O Krishna, seeing my relatives ready for battle and trying to kill each other, my limbs fail and my mouth dries up."
1,29,"My whole body was shaking; Hair is getting thick.  My bow, the gandivam, slips away and all my skin is missing. My mind is wandering in a state of confusion. I can't hold myself steady anymore. O Krishna, slayer of the demon Kesi (Kesavah), there are ominous omens everywhere. Killing one's own kinsmen in this war, I fail to see how any good can come of it."
1,30,"My whole body was shaking; Hair is getting thick.  My bow, the gandivam, slips away and all my skin is missing. My mind is wandering in a state of confusion. I can't hold myself steady anymore. O Krishna, slayer of the demon Kesi (Kesavah), there are ominous omens everywhere. Killing one's own kinsmen in this war, I fail to see how any good can come of it."
1,31,"My whole body was shaking; Hair is getting thick.  My bow, the gandivam, slips away and all my skin is missing. My mind is wandering in a state of confusion. I can't hold myself steady anymore. O Krishna, slayer of the demon Kesi (Kesavah), there are ominous omens everywhere. Killing one's own kinsmen in this war, I fail to see how any good can come of it."
1,32,"O Krishna, I do not want victory, kingdom, or the happiness that comes from them. What is the use of the kingdom, of the pleasures, of this life, when those for whom we want all this are fighting against us?"
1,33,"O Krishna, I do not want victory, kingdom, or the happiness that comes from them. What is the use of the kingdom, of the pleasures, of this life, when those for whom we want all this are fighting against us?"
1,34,"Gurus, fathers, sons, uncles, grandsons, uncles, brothers-in-law and other relatives risk their lives and money and come here.  O Madhusudana, even if they attack me I will not kill them. If we kill the sons of Dhritarashtra and gain dominion over the mountains, what satisfaction will we have, and what will I say for the sake of this earth?"
1,35,"Gurus, fathers, sons, uncles, grandsons, uncles, brothers-in-law and other relatives risk their lives and money and come here.  O Madhusudana, even if they attack me I will not kill them. If we kill the sons of Dhritarashtra and gain dominion over the mountains, what satisfaction will we have, and what will I say for the sake of this earth?"
1,36,"O Janardhana (protector and patron of all demons), how can we be happy after killing the sons of Dhritarashtra? Even if they are evil aggressors, if we kill them, we will surely be covered with sin. So it is not proper for us to kill Dhritarashtra's sons and friends. O Madhva (Krishna), how can we be happy by killing our own?"
1,37,"O Janardhana (protector and patron of all demons), how can we be happy after killing the sons of Dhritarashtra? Even if they are evil aggressors, if we kill them, we will surely be covered with sin. So it is not proper for us to kill Dhritarashtra's sons and friends. O Madhva (Krishna), how can we be happy by killing our own?"
1,38,"They see no fault in greed corrupting their thoughts and destroying their relatives, or in betraying their friends by taking sides. But, O Janardhana, why should not we, who can clearly see the error in killing ourselves, avoid this sinful act?"
1,39,"They see no fault in greed corrupting their thoughts and destroying their relatives, or in betraying their friends by taking sides. But, O Janardhana, why should not we, who can clearly see the error in killing ourselves, avoid this sinful act?"
1,40,"When the lineage is destroyed, all lineages disappear; The rest of the family members are unrighteous."
1,41,"Due to the predominance of vices, O Krishna, caste women become unrighteous, and due to the immoral conduct of women, O Vrishni, unwanted offspring are born."
1,42,"Due to the increase of unwanted children, the caste and also those who destroyed the caste will be in hell. Even those depraved lineage ancestors will fall because of Shraddha tarpanams."
1,43,Many social and family welfare virtues are destroyed due to their evil deeds which destroy the family tradition and cause unwanted children.
1,44,"O Janardhana (Krishna), I have heard from the scholars that those who destroy castes will remain in hell indefinitely;"
1,45,"Oops! What a surprise, we decided to commit this great sin. We are ready to kill our own relatives for the pleasures of the kingdom. Even if the sons of Dhritarashtra, armed with weapons, slay me unarmed and unresisting on the battlefield, better than this."
1,46,"Oops! What a surprise, we decided to commit this great sin. We are ready to kill our own relatives for the pleasures of the kingdom. Even if the sons of Dhritarashtra, armed with weapons, slay me unarmed and unresisting on the battlefield, better than this."
1,47,"Sanjaya uttered: Thus uttered Arjuna, in a state of dejection, deeply grieved, threw aside his arrows and bow, and collapsed in the chariot."
2,1,"Sanjaya spoke: Seeing Arjuna full of pity, with a sorrowful heart and eyes full of water, Lord Krishna spoke thus."
2,2,"Sri Bhagavan said: Dear Arjuna, at such a critical time, how did this illusion of mind hide itself? This is unbecoming of a respectable person. This does not lead to the best results, but it can lead to scandal."
2,3,"O Partha, it is not fit for you to surrender to this cowardly self. Abandon this wretched weakness of heart, and go forth to battle, O conqueror of foes."
2,4,"Arjuna said: O Madhusudana, how can I shoot arrows in battle against the venerable Bhishma and Dronacharya? O destroyer of enemies."
2,5,"It is better to live as a beggar than to kill these elders who are my teachers and enjoy these pleasures. If we kill them, our wealth, pleasures, and blood will be tainted."
2,6,"We do not even know which outcome of this war is better for us - to conquer them or to be conquered by them. Even after killing them we don't feel like living. However, they joined the side of Dhritarashtra and stood in front of us on the battlefield."
2,7,I did not know what my duty was and anxiety and timidity seized me. I am your disciple and your devotee. Teach me what is really good for me.
2,8,"There is no way to get rid of this grief that dries up my senses. Even if I win an opulent, unrivaled kingdom on this earth and rule like the gods, I cannot remove this sorrow."
2,9,"Sanjaya spoke: thus Gudakesha, the chastiser of enemies, fell silent, saying to Hrishikesh: ""Govinda, I will not fight."""
2,10,"O Dhritarashtra! After that, in the midst of the two armies, Lord Krishna spoke to the grieving Arjuna."
2,11,The Lord said: You speak words of wisdom but mourn for that which should not be mourned.  The wise mourn neither the dead nor the living.
2,12,"There was no time when I, but you, and all these kings were not; We will not be absent even before."
2,13,"However, just as the soul in the body passes through childhood, youth and old age respectively, similarly at the time of death, the soul enters another body (body). Wise people do not worry about this."
2,14,"O son of Kunti, due to association with sense-objects, the senses seem to have fleeting, eternal pleasures and sorrows. These are infinities; They come like summer and winter. O descendant of Bharata, learn to bear these things without getting upset."
2,15,"O Arjuna, the best of men, he who is unaffected by pleasures and sorrows, and is unmoved by both, is worthy of salvation."
2,16,That which is transitory has no permanence and that which is eternal has no end. Philosophers who have studied the nature of these two have observed this fact.
2,17,Know that it is indestructible which pervades the whole body. No one can destroy the impermanent soul.
2,18,"Only this physical body is perishable; But the Jivatma is imperishable, immeasurable and Sanatana (Eternal). Therefore, O descendant of Bharata, fight."
