chapter_no,verse_no,question,answer
1,1,Why does Dhritarashtra ask Sanjaya to describe the battlefield?,"Dhritarashtra is blind, both physically and symbolically — representing ignorance."
1,1,What is the significance of Kurukshetra being described as 'sacred soil'?,Kurukshetra is referred to as 'sacred soil' because it is not only a battleground but also a place of great spiritual and religious significance.
1,1,Why does Dhritarashtra refer to Kurukshetra as 'Dharmakshetra' in his query to Sanjaya?,Dhritarashtra refers to Kurukshetra as 'Dharmakshetra' because he is aware of its spiritual importance.
1,1,What does Dhritarashtra's question to Sanjaya reveal about his state of mind?,Dhritarashtra's question reveals his anxiety and curiosity about the battle's events.
1,1,What is Dhritarashtra anxious to know about the events at Kurukshetra?,Dhritarashtra is anxious to know what actions both his sons and the sons of Pandu took when gathered on the battlefield.
1,2,Who is the speaker describing Duryodhana's actions?,The speaker in this verse is Sanjaya.
1,2,What did Duryodhana see that prompted him to speak to Dronacarya?,Duryodhana saw the Pandavas' army arrayed for battle.
1,2,How is the Pandavas' army described?,The Pandavas' army is described as being drawn up for battle.
1,2,Why might Duryodhana approach Dronacarya upon seeing the Pandavas' army?,Duryodhana likely approached Dronacarya because he was concerned or seeking guidance about the battle strategy.
1,2,What does Duryodhana's reaction to the Pandavas' army reveal about his character?,Duryodhana's immediate reaction to consult with Dronacarya suggests that he is a cautious and strategic thinker.
1,3,Who is being addressed as 'Master'?,"Drona, the teacher of both the Kauravas and the Pandavas."
1,3,Who is described as the talented pupil?,"Dhrstadyumna, the son of Drupada, is described as the talented pupil in this verse."
1,3,What is the significance of the 'mighty army' mentioned?,"The 'mighty army' refers to the formidable military formation of the Pandavas, organized and prepared for battle by Dhrstadyumna."
1,3,Why is Dhrstadyumna's role emphasized?,Dhrstadyumna's role is emphasized to highlight his strategic acumen and capability as a leader.
1,3,What does the verse imply about the relationship between Drona and Dhrstadyumna?,"The verse implies a complex relationship where Dhrstadyumna, though a pupil of Drona, is now commanding an army against him."
1,4,Who are described as mighty archers?,"Yuyudhana, Virata, and Drupada are described as mighty archers."
