chapter_no,verse_no,question,answer
1,1,యుద్ధభూమిని వివరించమని ధృతరాష్ట్రుడు సంజయుడిని ఎందుకు అడుగుతాడు?,"ధృతరాష్ట్రుడు అంధుడు, భౌతికంగా మరియు ప్రతీకాత్మకంగా - అజ్ఞానానికి ప్రాతినిధ్యం వహిస్తాడు. సంజయుడు యుద్ధం యొక్క ఫలితం గురించి మరియు తన కుమారులు (కౌరవులు) గెలుస్తారా లేదా అనే ఆత్రుతతో ఏమి జరుగుతుందో వివరించాలని అతను కోరుకుంటున్నాడు."
1,1,శ్లోకంలో కురుక్షేత్రాన్ని 'పవిత్రమైన నేల'గా వర్ణించడం యొక్క ప్రాముఖ్యత ఏమిటి?,"కురుక్షేత్రాన్ని 'పవిత్ర నేల' అని పిలుస్తారు, ఎందుకంటే ఇది యుద్ధభూమి మాత్రమే కాదు, గొప్ప ఆధ్యాత్మిక మరియు మతపరమైన ప్రాముఖ్యత కలిగిన ప్రదేశం, ధర్మబద్ధమైన నిర్ణయాలు తీసుకునే ధార్మిక భూమి అని నమ్ముతారు."
1,1,సంజయుని ప్రశ్నలో ధృతరాష్ట్రుడు కురుక్షేత్రాన్ని 'ధర్మక్షేత్రం' అని ఎందుకు పేర్కొన్నాడు?,"ధృతరాష్ట్రుడు కురుక్షేత్రాన్ని 'ధర్మక్షేత్రం' అని పేర్కొన్నాడు, ఎందుకంటే అతనికి దాని ఆధ్యాత్మిక ప్రాముఖ్యత గురించి తెలుసు. ఇది యుద్ధం యొక్క ధర్మం మరియు అతని కుమారులు మరియు పాండవులకు సంభావ్య పరిణామాల గురించి అతని ఆందోళనను నొక్కి చెబుతుంది."
1,1,"1వ అధ్యాయం, 1వ శ్లోకంలో, ధృతరాష్ట్రుడు సంజయుడిని అడిగిన ప్రశ్న అతని మానసిక స్థితి గురించి ఏమి తెలుపుతుంది?",ధృతరాష్ట్రుని ప్రశ్న యుద్ధం యొక్క సంఘటనల గురించి అతని ఆందోళన మరియు ఉత్సుకతను వెల్లడిస్తుంది. 'నా పిల్లలు మరియు పాండు యొక్క పిల్లలు' అనే అతని ప్రస్తావన రెండు పార్టీల ఫలితం మరియు విధి గురించి అతని ఆందోళనను సూచిస్తుంది.
1,1,కురుక్షేత్రంలో జరిగిన సంఘటనల గురించి తెలుసుకోవాలని ధృతరాష్ట్రుడు ఆత్రుతగా ఉన్నాడు?,"ధృతరాష్ట్రుడు తన కుమారులు మరియు పాండు కుమారులు ఇద్దరూ యుద్ధభూమిలో గుమిగూడినప్పుడు ఏమి చర్యలు తీసుకున్నారో తెలుసుకోవాలని ఆత్రుతగా ఉన్నాడు, ఇది రాబోయే సంఘర్షణ మరియు దాని పర్యవసానాలపై అతని తీవ్ర ఆందోళనను ప్రతిబింబిస్తుంది."
1,2,"అధ్యాయం 1, శ్లోకం 2, దుర్యోధనుడి చర్యలను వివరించే వక్త ఎవరు?","ఈ పద్యంలోని వక్త సంజయుడు. అతను పాండవుల సైన్యాన్ని గమనించి, మాట్లాడటానికి ద్రోణాచార్యుని దగ్గరకు వచ్చినప్పుడు రాజు దుర్యోధనుడి చర్యలను వివరిస్తున్నాడు."
1,2,ద్రోణాచార్యునితో మాట్లాడటానికి దుర్యోధనుడు ఏమి చూశాడు?,యుద్ధానికి సిద్ధమైన పాండవుల సైన్యాన్ని దుర్యోధనుడు చూశాడు. ఈ దృశ్యం ద్రోణాచార్యుని దగ్గరకు వెళ్లి మాట్లాడేలా చేసింది.
1,2,పద్యంలో పాండవుల సైన్యం ఎలా వివరించబడింది?,"పాండవుల సైన్యం యుద్ధానికి సిద్ధమైనట్లు వర్ణించబడింది, వారు వ్యూహాత్మకంగా ఏర్పాటు చేయబడి యుద్ధానికి సిద్ధంగా ఉన్నారని సూచిస్తుంది."
1,2,పాండవుల సైన్యాన్ని చూసిన దుర్యోధనుడు ద్రోణాచార్యుడిని ఎందుకు సంప్రదించాడు?,"దుర్యోధనుడు బహుశా ద్రోణాచార్యను సంప్రదించాడు ఎందుకంటే అతను యుద్ధ వ్యూహం గురించి ఆందోళన చెందుతున్నాడు లేదా మార్గదర్శకత్వం కోరుతున్నాడు. ద్రోణాచార్య, అతని గురువు మరియు గౌరవనీయమైన సైనిక నాయకుడు, దుర్యోధనుడు బలీయమైన పాండవుల సైన్యాన్ని ఎదుర్కొనే సలహాకు విలువనిచ్చే వ్యక్తి."
1,2,పాండవుల సైన్యం పట్ల దుర్యోధనుడి స్పందన అతని పాత్ర గురించి ఏమి తెలుపుతుంది?,"ద్రోణాచార్యుని సంప్రదించడానికి దుర్యోధనుడు తక్షణ ప్రతిస్పందన అతను జాగ్రత్తగా మరియు వ్యూహాత్మక ఆలోచనాపరుడని సూచిస్తుంది. అతను జ్ఞానం మరియు అనుభవాన్ని గౌరవిస్తాడని ఇది సూచిస్తుంది, ముఖ్యంగా సైనిక విషయాలలో, మరియు రాబోయే యుద్ధం యొక్క తీవ్రత గురించి తెలుసు. ఇది అతని పాత్రలో గౌరవం మరియు వ్యూహాత్మక దూరదృష్టి యొక్క సమ్మేళనాన్ని ప్రతిబింబిస్తుంది."
1,3,"అధ్యాయం 1, 3వ వచనంలో, 'మాస్టర్' అని ఎవరిని సంబోధిస్తున్నారు?",ఈ శ్లోకంలో సంబోధించబడుతున్న 'గురువు' కౌరవులకు మరియు పాండవులకు గురువు అయిన ద్రోణుడు.
1,3,ఇదిగో ఈ బోధనలో ప్రతిభావంతులైన విద్యార్థిగా ఎవరు వర్ణించబడ్డారు?,ద్రుపదుని కుమారుడైన దృష్టద్యుమ్నుడు ఈ శ్లోకంలో ప్రతిభావంతుడైన శిష్యుడిగా వర్ణించబడ్డాడు.
1,3,పద్యంలో పేర్కొన్న 'పరాక్రమ సైన్యం' యొక్క ప్రాముఖ్యత ఏమిటి?,"'పరాక్రమ సైన్యం' అనేది పాండవుల బలీయమైన సైనిక నిర్మాణాన్ని సూచిస్తుంది, దృష్టద్యుమ్నుడు యుద్ధానికి సిద్ధం చేశాడు. ఇది పాండవ దళాల వ్యూహాత్మక సన్నద్ధత మరియు బలాన్ని హైలైట్ చేస్తుంది."
1,3,ఇదిగో అనే ఈ బోధనలో దృష్టద్యుమ్నుడి పాత్ర ఎందుకు నొక్కి చెప్పబడింది?,"నాయకుడిగా అతని వ్యూహాత్మక చతురత మరియు సామర్థ్యాన్ని హైలైట్ చేయడానికి దృష్టద్యుమ్నుడి పాత్ర నొక్కి చెప్పబడింది. ద్రోణుడి విద్యార్థి అయినప్పటికీ, అతను తన స్వంత గురువుకు వ్యతిరేకంగా నిలబడి, యుద్ధంలో విధేయత మరియు కర్తవ్యం యొక్క సంక్లిష్టతలను ప్రదర్శిస్తాడు."
1,3,ద్రోణుడు మరియు దృష్టద్యుమ్నుడి మధ్య ఉన్న సంబంధాన్ని శ్లోకం ఏమి సూచిస్తుంది?,ద్రోణుడి శిష్యుడైన దృష్టద్యుమ్నుడు ఇప్పుడు అతనికి వ్యతిరేకంగా సైన్యానికి నాయకత్వం వహిస్తున్న సంక్లిష్ట సంబంధాన్ని ఈ పద్యం సూచిస్తుంది. ఇది వ్యక్తిగత సంబంధాలపై విధి యొక్క థీమ్ మరియు యుద్ధంలో తలెత్తే అనివార్యమైన సంఘర్షణలను నొక్కి చెబుతుంది.
1,4,ఎవరు శక్తివంతమైన ఆర్చర్స్ అని వర్ణించబడ్డారు?,"ఈ శ్లోకంలో యుయుధనుడు, విరాటుడు, ద్రుపదుడు గొప్ప విలుకాడులుగా వర్ణించబడ్డారు. వారు యుద్ధంలో భీముడు మరియు అర్జునులతో సమానంగా పరిగణించబడతారు, వారి పరాక్రమాన్ని మరియు యుద్ధంలో నైపుణ్యాన్ని ప్రస్ఫుటం చేస్తారు."
1,4,అర్జునుడిపై ఈ బోధనలో ఏ యోధులను మహారథులుగా పేర్కొన్నారు?,"ఈ శ్లోకంలో మహారథులుగా పేర్కొనబడిన యోధులు యుయుధనుడు, విరాటుడు మరియు ద్రుపదుడు. మహారథి అనేక మంది ప్రత్యర్థులతో పోరాడగల గొప్ప రథసారధిని సూచిస్తుంది."
1,4,భీముడు మరియు అర్జునుడు యోధులను ఎందుకు పోల్చారు?,"భీముడు మరియు అర్జునుడు యుద్ధంలో అసాధారణమైన శక్తి మరియు నైపుణ్యానికి ప్రసిద్ధి చెందిన పురాణ యోధులు కాబట్టి పోలిక కోసం బెంచ్‌మార్క్‌గా ఉపయోగించబడ్డారు. యుయుధనుడు, విరాటుడు మరియు ద్రుపదుడిని వారితో పోల్చడం ద్వారా, పద్యం వారి అద్భుతమైన సామర్థ్యాలను మరియు పరాక్రమాన్ని నొక్కి చెబుతుంది."
1,4,"అధ్యాయం 1, 4వ వచనంలో, ఈ శక్తివంతమైన యోధులను ఎవరు జాబితా చేస్తున్నారు?","ఈ పద్యంలో, ఈ పరాక్రమ యోధులను జాబితా చేస్తున్నది దుర్యోధనుడు. అతను తన గురువు, ద్రోణుని ఉద్దేశించి, ఈ గొప్ప యోధుల గురించి ప్రస్తావించడం ద్వారా తన స్వంత సైన్యం యొక్క బలాన్ని ఎత్తిచూపుతున్నాడు."
